block,description,register,level,occurrence
C,Complemento de Documento - Operações de Importação (código 01 e 55),C120,3,1:N
C,"Complemento de Documento - ISSQN, IRRF e Previdência Social",C130,3,1:1
C,Complemento de Documento - Fatura (código 01),C140,3,1:1
C,Complemento de Documento - Vencimento da Fatura (código 01),C141,4,1:N
C,Complemento de Documento - Volumes Transportados (código 01 e 04) Exceto Combustíveis,C160,3,1:1
C,Complemento de Documento - Operações com combustíveis (código 01),C165,3,1:N
C,"Complemento de Documento - Itens do Documento (código 01, 1B, 04 e 55)",C170,3,1:N
C,"Complemento de Item - Armazenamento de Combustíveis (código 01,55)",C171,4,1:N
C,Complemento de Item - Operações com ISSQN (código 01),C172,4,1:1
C,"Complemento de Item - Operações com Medicamentos (código 01,55)",C173,4,1:N
C,Complemento de Item - Operações com Armas de Fogo (código 01),C174,4,1:N
C,"Complemento de Item - Operações com Veículos Novos (código 01,55)",C175,4,1:N
C,"Complemento de Item -Ressarcimento de ICMS em operações com Substituição Tributária (código 01,55)",C176,4,1:N
C,"Complemento de Item - Outras informações (Cód. 01, 55) - (Válido a partir de 01/01/2019)",C177,4,1:1
C,Complemento de Item - Operações com Produtos Sujeitos a Tributação de IPI por Unidade ou Quantidade de produto,C178,4,1:1
C,Complemento de Item - Informações Complementares ST (código 01),C179,4,1:1
C,"Informações complementares das operações de entrada de mercadorias sujeitas à substituição tributária (código 01, 1B, 04 e 55)",C180,4,1:1
C,"Informações complementares das operações de devolução de saídas de mercadorias sujeitas à substituição tributária (código 01, 1B, 04 e 55).",C181,4,1:N
C,"Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (código 01, 1B, 04 e 55)",C185,3,1:N
C,"Informações complementares das operações de devolução de entradas de mercadorias sujeitas à substituição tributária (código 01, 1B, 04 e 55).",C186,3,1:N
C,"Registro Analítico do Documento (código 01, 1B, 04, 55 e 65)",C190,3,1:N
C,Informações do Fundo de Combate à Pobreza - FCP - na NF-e (Código 55),C191,4,1:1
C,"Complemento do Registro Analítico - Observações do Lançamento Fiscal (código 01, 1B, 04 e 55)",C195,3,1:N
C,"Outras Obrigações Tributárias, Ajustes e Informações provenientes de Documento Fiscal",C197,4,1:N
C,Documento - Resumo Diário das Notas Fiscais de Venda a Consumidor (código 02),C300,2,V
C,Documentos Cancelados de Nota Fiscal de Venda a Consumidor (código 02),C310,3,1:N
C,Registro Analítico das Notas Fiscais de Venda a Consumidor (código 02),C320,3,1:N
C,Itens dos Resumos Diários dos Documentos (código 02),C321,4,1:N
C,Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (código 02),C330,5,1:1
C,Nota Fiscal de venda a consumidor (código 02),C350,2,V
C,Itens do documento (código 02),C370,3,1:N
C,Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (código 02),C380,4,1:1
C,Registro Analítico das Notas Fiscais de Venda a Consumidor (código 02),C390,3,1:N
C,"Equipamento ECF (código 02, 2D e 60)",C400,2,V
C,"Redução Z (código 02, 2D e 60)",C405,3,1:N
C,PIS e COFINS Totalizados no Dia (código 02 e 2D),C410,4,1:1
C,"Registro dos Totalizadores Parciais da Redução Z (código 02, 2D e 60)",C420,4,1:N
C,Resumo de itens do movimento diário (código 02 e 2D),C425,5,1:N
C,"Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (código 02, 2D e 60)",C430,6,1:N
C,"Documento Fiscal Emitido por ECF (código 02, 2D e 60)",C460,4,1:N
C,Complemento do Cupom Fiscal Eletrônico Emitido por ECF - CF-e-ECF (código 60),C465,5,1:1
C,Itens do Documento Fiscal Emitido por ECF (código 02 e 2D),C470,5,1:N
C,"Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (código 02, 2D e 60)",C480,6,1:1
C,"Registro Analítico do movimento diário (código 02, 2D e 60)",C490,4,1:N
C,Resumo Mensal de Itens do ECF por Estabelecimento (código 02 e 2D e 2E),C495,2,V
C,"Nota Fiscal/Conta de Energia Elétrica (código 06), Nota Fiscal de Energia Elétrica Eletrônica (código 66) , Nota Fiscal/Conta de fornecimento dágua canalizada (código 29) e Nota Fiscal/Consumo Fornecimento de Gás (Código 28)",C500,2,V
C,"Itens do Documento - Nota Fiscal/Conta de Energia Elétrica (código 06), Nota Fiscal/Conta de fornecimento d'água canalizada (código 29) e Nota Fiscal/Conta Fornecimento de Gás (Código 28)",C510,3,1:N
C,"Registro Analítico do Documento - Nota Fiscal/Conta de Energia Elétrica (código 06), Nota Fiscal de Energia Elétrica Eletrônica (código 66), Nota Fiscal/Conta de fornecimento d'água canalizada (código 29) e Nota Fiscal/Conta Fornecimento de Gás (Código 28)",C590,3,1:N
C,Informações do Fundo de Combate à Pobreza - FCP na NF3e (código 66),C591,4,1:1
C,"Observações do Lançamento Fiscal (códigos 06, 28, 29 e 66)",C595,3,1:N
C,"Outras obrigações tributárias, ajustes e informações de valores provenientes de documento fiscal.",C597,4,1:N
C,"Consolidação Diária de Notas Fiscais/Contas de Energia Elétrica (Código 06), Nota Fiscal/Conta de Fornecimento d´água (código 29) e Nota Fiscal/Conta de Fornecimento de Gás (Código 28) - (Empresas não obrigadas ao Convênio ICMS 115/03)",C600,2,V
C,"Documentos cancelados - Consolidação diária de notas fiscais/conta de energia elétrica (Código 06), nota fiscal/conta de fornecimento de água (código 29) e nota fiscal/conta de fornecimento de gás (código 28)",C601,3,1:N
C,"Itens do Documento Consolidado - Notas Fiscais/Contas de Energia Elétrica (Código 06), Nota Fiscal/Conta de Fornecimento d´água (código 29) e Nota Fiscal/Conta de Fornecimento de Gás (Código 28) - (Empresas não obrigadas ao Convênio ICMS 115/03)",C610,3,1:N
C,"Registro Analítico dos Documentos - Notas Fiscais/Contas de Energia Elétrica (Código 06), Nota Fiscal/Conta de Fornecimento d´água (código 29) e Nota Fiscal/Conta de Fornecimento de Gás (Código 28)",C690,3,1:N
C,"Consolidação dos Documentos Nota Fiscal/Conta Energia Elétrica (código 06) emitidas em via única - (Empresas obrigadas à entrega do arquivo previsto no Convênio ICMS 115/03), Nota Fiscal/Conta de Fornecimento de Gás Canalizado (Código 28) e Nota Fiscal de Energia Elétrica Eletrônica (código 66)",C700,2,V
C,"Registro Analítico dos Documentos (Códigos 06, 28 e 66)",C790,3,1:N
C,Registro de Informações de ICMS ST por UF (Código 06 e 66),C791,4,1:N
C,Registro Cupom Fiscal Eletrônico - CF-e (Código 59),C800,2,V
C,Itens do documento do cupom fiscal eletrônico - SAT (CF-E-SAT) (código 59),C810,3,1:N
C,Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (CF-E-SAT) (código 59),C815,4,1:1
C,Registro Analítico do CF-e (Código 59),C850,3,1:N
C,Observações do lançamento fiscal (Código 59),C855,3,1:N
C,"Outras obrigações tributárias, ajustes e informações de valores provenientes de documento fiscal.",C857,4,1:N
C,Identificação do equipamento SAT-CF-e (Código 59),C860,2,V
C,Itens do documento do cupom fiscal eletrônico - SAT (CF-E-SAT) (código 59),C870,3,1:N
C,Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (CF-E-SAT) (código 59),C880,4,1:1
C,Resumo diário de CF-e (Código 59) por equipamento SAT-CF-e,C890,3,1:N
C,Observações do lançamento fiscal (Código 59),C895,3,1:N
C,"Outras obrigações tributárias, ajustes e informações de valores provenientes de documento fiscal.",C897,4,1:N
C,Encerramento do Bloco C,C990,1,1
D,Abertura do Bloco D,D001,1,1
D,"Nota Fiscal de Serviço de Transporte (código 07), Conhecimentos de Transporte Rodoviário De Cargas (código 08), Conhecimentos de Transporte de Cargas Avulso (código 8b), Aquaviário de Cargas (código 09), Aéreo (código 10), Ferroviário de Cargas (código 11), Multimodal de Cargas (código 26), Nota Fiscal de Transporte Ferroviário de Carga (código 27), Conhecimento de Transporte Eletrônico - CT-e (código 57), Conhecimento de Transporte Eletrônico para Outros Serviços - CT-e OS (código 67) e Bilhete de Passagem Eletrônico (código 63)",D100,2,V
D,Informação complementar dos documentos fiscais quando das prestações interestaduais destinadas a consumidor final não contribuinte EC 87/15 (código 57 e 67),D101,3,1:1
D,Itens do documento - Nota Fiscal de Serviços de Transporte (código 07),D110,3,1:N
D,Complemento da Nota Fiscal de Serviços de Transporte (código 07),D120,4,1:N
D,Complemento do Conhecimento Rodoviário de Cargas (código 08) e Conhecimento de Transporte de Cargas Avulso (Código 8B),D130,3,1:N
D,Complemento do Conhecimento Aquaviário de Cargas (código 09),D140,3,1:1
D,Complemento do Conhecimento Aéreo de Cargas (código 10),D150,3,1:1
D,"Carga Transportada (CÓDIGO 08, 8B, 09, 10, 11, 26 E 27)",D160,3,1:N
D,"Local de Coleta e Entrega (códigos 08, 8B, 09, 10, 11 e 26)",D161,4,1:1
D,"Identificação dos documentos fiscais (código 08,8B, 09,10,11,26 e 27)",D162,4,1:N
D,Complemento do Conhecimento Multimodal de Cargas (código 26),D170,3,1:1
D,Modais (código 26),D180,3,1:N
D,"Registro Analítico dos Documentos (CÓDIGO 07, 08, 8B, 09, 10, 11, 26, 27, 57 e 67)",D190,3,1:N
D,"Observações do lançamento (CÓDIGO 07, 08, 8B, 09, 10, 11, 26, 27, 57 e 67)",D195,3,1:N
D,"Outras obrigações tributárias, ajustes e informações de valores provenientes do documento fiscal.",D197,4,1:N
D,"Registro Analítico dos bilhetes consolidados de Passagem Rodoviário (código 13), de Passagem Aquaviário (código 14), de Passagem e Nota de Bagagem (código 15) e de Passagem Ferroviário (código 16)",D300,2,V
D,"Documentos cancelados dos Bilhetes de Passagem Rodoviário (código 13), de Passagem Aquaviário (código 14), de Passagem e Nota de Bagagem (código 15) e de Passagem Ferroviário (código 16)",D301,3,1:N
D,"Complemento dos Bilhetes (código 13, código 14, código 15 e código 16)",D310,3,1:N
D,"Equipamento ECF (Códigos 2E, 13, 14, 15 e 16)",D350,2,V
D,"Redução Z (Códigos 2E, 13, 14, 15 e 16)",D355,3,1:N
D,"PIS E COFINS totalizados no dia (Códigos 2E, 13, 14, 15 e 16)",D360,4,1:1
D,"Registro dos Totalizadores Parciais da Redução Z (Códigos 2E, 13, 14, 15 e 16)",D365,4,1:N
D,"Complemento dos documentos informados (Códigos 13, 14, 15, 16 E 2E)",D370,5,1:N
D,"Registro analítico do movimento diário (Códigos 13, 14, 15, 16 E 2E)",D390,4,1:N
D,Resumo do Movimento Diário (código 18),D400,2,V
D,"Documentos Informados (Códigos 13, 14, 15 e 16)",D410,3,1:N
D,"Documentos Cancelados dos Documentos Informados (Códigos 13, 14, 15 e 16)",D411,4,1:N
D,"Complemento dos Documentos Informados (Códigos 13, 14, 15 e 16)",D420,3,1:N
D,Nota Fiscal de Serviço de Comunicação (código 21) e Serviço de Telecomunicação (código 22),D500,2,V
D,Itens do Documento - Nota Fiscal de Serviço de Comunicação (código 21) e Serviço de Telecomunicação (código 22),D510,3,1:N
D,Terminal Faturado,D530,3,1:N
D,Registro Analítico do Documento (códigos 21 e 22),D590,3,1:N
D,Consolidação da Prestação de Serviços - Notas de Serviço de Comunicação (código 21) e de Serviço de Telecomunicação (código 22),D600,2,V
D,Itens do Documento Consolidado (códigos 21 e 22),D610,3,1:N
D,Registro Analítico dos Documentos (códigos 21 e 22),D690,3,1:N
D,Consolidação da Prestação de Serviços - Notas de Serviço de Comunicação (código 21) e de Serviço de Telecomunicação (código 22),D695,2,V
D,Registro Analítico dos Documentos (códigos 21 e 22),D696,3,1:N
D,"Registro de informações de outras UFs, relativamente aos serviços “não-medidos” de televisão por assinatura via satélite",D697,4,1:N
D,Nota Fiscal Fatura Eletrônica de Serviços de Comunicação - NFCom (Código 62),D700,2,V
D,Registro analítico Nota Fiscal Fatura Eletrônica de Serviços de Comunicação - NFCom (Código 62),D730,3,1:N
D,Informações do fundo de combate à pobreza - FCP - (Código 62),D731,4,1:1
D,Observações do lançamento fiscal (Código 62),D735,3,1:N
D,"Outras obrigações tributárias, ajustes e informações de valores proveniente de documento fiscal",D737,4,1:N
D,Escrituração consolidada da Nota Fiscal Fatura Eletrônica de Serviços de Comunicação - NFCom (Código 62),D750,2,1:N
D,Registro analítico da escrituração consolidada da Nota Fiscal Fatura Eletrônica de Serviços de Comunicação - NFCom (Código 62),D760,3,1:N
D,Informações do fundo de combate à pobreza FCP - (Código 62),D761,4,1:1
D,Encerramento do Bloco D,D990,1,1
E,Abertura do Bloco E,E001,1,1
E,Período de Apuração do ICMS,E100,2,V
E,Apuração do ICMS - Operações Próprias,E110,3,1:1
E,Ajuste/Benefício/Incentivo da Apuração do ICMS,E111,4,1:N
E,Informações Adicionais dos Ajustes da Apuração do ICMS,E112,5,1:N
E,Informações Adicionais dos Ajustes da Apuração do ICMS - Identificação dos documentos fiscais,E113,5,1:N
E,Informações Adicionais da Apuração do ICMS - Valores Declaratórios,E115,4,1:N
E,Obrigações do ICMS Recolhido ou a Recolher - Obrigações Próprias,E116,4,1:N
E,Período de Apuração do ICMS - Substituição Tributária,E200,2,V
E,Apuração do ICMS - Substituição Tributária,E210,3,1:1
E,Ajuste/Benefício/Incentivo da Apuração do ICMS - Substituição Tributária,E220,4,1:N
E,Informações Adicionais dos Ajustes da Apuração do ICMS Substituição Tributária,E230,5,1:N
E,Informações Adicionais dos Ajustes da Apuração do ICMS Substituição Tributária - Identificação dos documentos fiscais,E240,5,1:N
E,Obrigações do ICMS a Recolher - Substituição Tributária,E250,4,1:N
E,Período de Apuração do ICMS Diferencial de Alíquota - UF Origem/Destino EC 87/15,E300,2,1:N
E,Apuração do ICMS Diferencial de Alíquota - UF Origem/Destino EC 87/15,E310,3,1:1
E,Ajuste/Benefício/Incentivo da Apuração do ICMS Diferencial de Alíquota - UF Origem/Destino EC 87/15,E311,4,1:N
E,Informações Adicionais dos Ajustes da Apuração do ICMS Diferencial de Alíquota - UF Origem/Destino EC 87/15,E312,5,1:N
E,Informações Adicionais da Apuração do ICMS Diferencial de Alíquota - UF Origem/Destino EC 87/15 Identificação dos Documentos Fiscais,E313,5,1:N
E,Obrigações do ICMS recolhido ou a recolher - Diferencial de Alíquota - UF Origem/Destino EC 87/15,E316,4,1:N
E,Período de Apuração do IPI,E500,2,V
E,Consolidação dos Valores de IPI,E510,3,1:N
E,Apuração do IPI,E520,3,1:1
E,Ajustes da Apuração do IPI,E530,4,1:N
E,Informações Adicionais dos Ajustes da Apuração do IPI - Identificação dos Documentos Fiscais (01 e 55),E531,5,1:N
E,Encerramento do Bloco E,E990,1,1
G,Abertura do Bloco G,G001,1,1
G,ICMS - Ativo Permanente - CIAP,G110,2,V
G,Movimentação de Bem do Ativo Imobilizado,G125,3,1:N
G,Outros créditos CIAP,G126,4,1:N
G,Identificação do documento fiscal,G130,4,1:N
G,Identificação do item do documento fiscal,G140,5,1:N
G,Encerramento do Bloco G,G990,1,1
H,Abertura do Bloco H,H001,1,1
H,Totais do Inventário,H005,2,V
H,Inventário,H010,3,1:N
H,Informação complementar do Inventário,H020,4,1:N
H,Informações complementares do inventário das mercadorias sujeitas ao regime de substituição tributária,H030,4,1:1
H,Encerramento do Bloco H,H990,1,1
K,Abertura do Bloco K,K001,1,1
K,Informação sobre o Tipo de Leiaute (Simplificado / Completo),K010,2,1
K,Período de Apuração do ICMS/IPI,K100,2,V
K,Estoque Escriturado,K200,3,1:N
K,Desmontagem de mercadorias - Item de Origem,K210,3,1:N
K,Desmontagem de mercadorias - Item de Destino,K215,4,1:N
K,Outras Movimentações Internas entre Mercadorias,K220,3,1:N
K,Itens Produzidos,K230,3,1:N
K,Insumos Consumidos,K235,4,1:N
K,Industrialização Efetuada por Terceiros - Itens Produzidos,K250,3,1:N
K,Industrialização em Terceiros - Insumos Consumidos,K255,4,1:N
K,Reprocessamento/Reparo de Produto/Insumo,K260,3,1:N
K,Reprocessamento/Reparo - Mercadorias Consumidas e/ou Retornadas,K265,4,1:N
K,"Correção de Apontamento dos Registros K210, K220, K230, K250 e K260",K270,3,1:N
K,"Correção de Apontamento e Retorno de Insumos dos Registros K215, K220, K235, K255 e K265",K275,4,1:N
K,Correção de Apontamento - Estoque Escriturado,K280,3,1:N
K,Produção Conjunta - Ordem de Produção,K290,3,1:N
K,Produção Conjunta - Itens Produzidos,K291,4,1:N
K,Produção Conjunta - Insumos Consumidos,K292,4,1:N
K,Produção Conjunta - Industrialização Efetuada por Terceiros,K300,3,1:N
K,Produção Conjunta - Industrialização Efetuada por Terceiros - Itens Produzidos,K301,4,1:N
K,Produção Conjunta - Industrialização Efetuada por Terceiros - Insumos Consumidos,K302,4,1:N
K,Encerramento do Bloco K,K990,1,1
1,Abertura do Bloco 1,1001,1,1
1,Obrigatoriedade de registros do Bloco 1,1010,2,1
1,Registro de Informações sobre Exportação,1100,2,V
1,Documentos Fiscais de Exportação,1105,3,1:N
1,Operações de Exportação Indireta - Mercadorias de terceiros,1110,4,1:N
1,Controle de Créditos Fiscais - ICMS,1200,2,V
1,Utilização de Créditos Fiscais - ICMS,1210,3,1:N
1,"Informações consolidadas de saldos de restituição, ressarcimento e complementação do ICMS",1250,2,1:1
1,"Informações consolidadas de saldos de restituição, ressarcimento e complementação do ICMS por motivo",1255,3,1:N
1,Movimentação diária de combustíveis,1300,2,V
1,Movimentação diária de combustíveis por tanque,1310,3,1:N
1,Volume de vendas,1320,4,1:N
1,Bombas,1350,2,V
1,Lacres das bombas,1360,3,1:N
1,Bicos da bomba,1370,3,1:N
1,Controle de produção de Usina,1390,2,V
1,Produção diária da usina,1391,3,1:N
1,Informação sobre Valor Agregado,1400,2,V
1,Nota fiscal/Conta de energia elétrica (código 06) - Operações Interestaduais,1500,2,V
1,Itens do documento Nota fiscal/Conta de energia elétrica (código 06),1510,3,1:N
1,Total das operações com cartão de crédito e/ou débito,1600,2,V
1,Operações com instrumentos de pagamentos eletrônicos,1601,2,V
1,Documentos fiscais utilizados,1700,2,V
1,Documentos fiscais cancelados/inutilizados,1710,3,1:N
1,DCTA - Demonstrativo de crédito do ICMS sobre transporte aéreo,1800,2,1
1,Indicador de sub-apuração do ICMS,1900,2,V
1,Período da sub-apuração do ICMS,1910,3,1:N
1,Sub-apuração do ICMS,1920,4,1:1
1,Ajuste/benefício/incentivo da sub-apuração do ICMS,1921,5,1:N
1,Informações adicionais dos ajustes da sub-apuração do ICMS,1922,6,1:N
1,Informações adicionais dos ajustes da sub-apuração do ICMS - Identificação dos documentos fiscais,1923,6,1:N
1,Informações adicionais da sub-apuração do ICMS - Valores declaratórios,1925,5,1:N
1,Obrigações do ICMS a recolher - Operações referentes à sub-apuração do ICMS,1926,5,1:N
1,GIAF 1 - Guia de informação e apuração de incentivos fiscais e financeiros: indústria (crédito presumido),1960,2,1:N
1,GIAF 3 - Guia de informação e apuração de incentivos fiscais e financeiros: importação (diferimento na entrada e crédito presumido na saída subsequente),1970,2,1:N
1,GIAF 3 - Guia de informação e apuração de incentivos fiscais e financeiros: importação (saídas internas por faixa de alíquota),1975,3,1:4
1,GIAF 4 - Guia de informação e apuração de incentivos fiscais e financeiros: central de distribuição (entradas/saídas),1980,2,1
1,Encerramento do Bloco 1,1990,1,1
9,Abertura do Bloco 9,9001,1,1
9,Registros do Arquivo,9900,2,V
9,Encerramento do Bloco 9,9990,1,1
9,Encerramento do Arquivo Digital,9999,0,1
